Ord,Item,Description,UPC,REF#,Sugg. Retail,Discount %,Net Price US $
,BAREMK1-Q,BAREMINERALS/CLAYMATES MASK DUO BE BRIGHT & BE PURE 2.04 OZ (58 ML), 098132520718, ,35.00,72,9.75
,BARECRCRG26-Q,BAREMINERALS/COMPLEXION RESCUE TINTED HYDRATING CREAM GEL (11) CEDAR 1.18 OZ, 098132561650, ,33.00,68,10.65
,BILACOMOL1,"BIOTHERM/LAIT CORPOREL BODY MILK 13.52 OZ
ANTI-DRYING", 3367729117264, 0769754,35.00,44,19.65
,DIHYLIEG1,CH.DIOR/DIOR HYDRA LIFE COOLING HYDRATION SORBET EYE GEL 0.5 OZ (15 ML), 3348901379496, C099600030,62.00,40,37.10
,CLMOB1C,"CLARINS/BEAUTY FLASH BALM 1.7 OZ
BRIGHTENS, TIGHTENS", 3380810163483, 80028173,50.00,48,26.05
,CLMOB1D,"CLARINS/BEAUTY FLASH BALM 1.7 OZ
BRIGHTENS, TIGHTENS", 3666057059889, 80087595,50.00,46,26.80
,CLTRSR2,"CLARINS/PORE CONTROL SERUM 1.0 OZ
FOR ALL SKIN TYPES", 3380810219623, 80037370,59.00,59,23.95
,CLEDJABC1B,CLARINS/EAU DES JARDINS SMOOTHING BODY CREAM 6.7 OZ (200 ML), 3380810300352, 80050169,50.00,70,15.10
,CLEXTRCR12B,"CLARINS/EXTRA-FIRMING NIGHT CREAM 1.7 OZ (50 ML)
ALL SKIN TYPES", 3380810458930, 80076664,98.00,47,51.50
,CLNTLMCR1-Q,CLARINS/NUTRI-LUMIERE NIGHT CREAM 1.7 OZ, 3380810354331, 80058249,175.00,68,55.55
,CPL3-Q,"CLE DE PEAU BEAUTE/HYDRO-CLARIFYING LOTION 5.7 OZ (170 ML) 
NORMAL-OILY SKIN", 729238118270, 11827,150.00,64,53.51
,CPCR1-Q,CLE DE PEAU BEAUTE/INTENSIVE FORTIFYING CREAM 1.7 OZ (50 ML), 729238118355, 11835,180.00,53,85.16
,CPMO1-Q,CLE DE PEAU BEAUTE/INTENSIVE FORTIFYING EMULSION 4.2 OZ (125 ML), 729238118331, 11833,180.00,53,85.16
,CPSR3-Q,CLE DE PEAU BEAUTE ENERGIZING ESSENCE 2.5 OZ, 729238309203, 30920,135.00,50,67.59
,CPSR2-Q,CLE DE PEAU BEAUTE BODY SERUM 3.3 OZ (100 ML), 729238133044, 13304,205.00,58,85.16
,CPRDNTO1-Q,CLE DE PEAU BEAUTE/RADIANT MULTI-REPAIR OIL 2.5 OZ (75 ML), 729238159105, 15910,168.00,51,83.14
,CQCLF2,CLINIQUE/CLINIQUE FOAMING SONIC FACIAL SOAP 5.0 OZ, 020714672164, Z4KL,20.00,30,14.10
,CQCLDDG2-Q,CLINIQUE/CLINIQUE ID DRAMATICALLY DIFFERENT HYDRATING JELLY 3.9 OZ (115 ML), 020714949549, 94954,39.00,67,12.70
,CQCLIDCT2-Q,CLINIQUE/CLINIQUE ID ACTIVE CARTRIDGE CONCEN. FOR PORES & UNEVEN TEXTURE 0.34 OZ, 020714949556, KALG,15.00,36,9.55
,CQCLSMTR1,"CLINIQUE/SMART NIGHT CLINICAL MD MULTI-DIMENSIONAL REPAIR TREATMENT RETINOL 1OZ
FOR ALL SKIN TYPES", 192333054802, KT9L01,69.00,36,44.50
,CQDRDIMOG2,"CLINIQUE/DRAMATICALLY DIFFERENT MOISTURIZING GEL IN TUBE 1.7 OZ
COMBINATION OILY TO OILY", 020714222864, 6EM7-01,17.00,38,10.50
,CQEVCLSR2,CLINIQUE/EVEN BETTER CLINICAL RADICAL DARK SPOT CORRECTOR + INTERRUPTER 1.7 OZ, 192333027226, KNOY,85.00,39,51.95
,CQRWEACR6,"CLINIQUE/REPAIRWEAR UPLIFTING FIRMING CREAM SPF 15 1.7 OZ
DRY COMBINATION TO COMB. OIL", 020714540272, 7JJ1,72.00,45,39.45
,CQSMCLCR1,"CLINIQUE/SMART CLINICAL MD MULTI-DMNSNL AGE DUO RESCULPT+REVOLUMIZE 1.7 OZ
TWO MOISTURIZERS, ONE JAR
RESCULPT, REVOLUMIZE, RESHAPE", 020714985509, KHF5,72.00,42,41.95
,CQSMCLCR1-Q,"CLINIQUE/SMART CLINICAL MD MULTI-DMNSNL AGE DUO RESCULPT+REVOLUMIZE 1.7 OZ 
TWO MOISTURIZERS, ONE JAR
RESCULPT, REVOLUMIZE, RESHAPE", 020714985509, KHF5,72.00,35,46.50
,CQSUDECR2,"CLINIQUE/SUPERDEFENSE BROAD SPECTRUM SPF 25 MULTI-CORRECTING CREAM 1.7 OZ
FATIGUE+1ST SIGNS OF AGE
VERY DRY TO DRY SKIN", 020714904111, ,55.00,39,33.40
,CQSUDEG1,"CLINIQUE/SUPERDEFENSE SPF 40  MULTI-CORRECTING GEL 1.7 OZ
FATIGUE+1ST SIGNS OF AGE
FOR ALL SKIN TYPES", 020714858735, ,56.00,44,31.30
,CQTTDOCL2,"CLINIQUE/TAKE THE DAY OFF MAKEUP REMOVER 4.2 OZ
FOR LIDS, LASHES & LIPS", 020714146559, 60MK-01,23.50,41,13.95
,DERLUBR1,"DERMALUXE/ADVANCE CLEANSING SYSTEM (2 SPEEDS/4 CLEANSING HEADS)
FACE & BODY BRUSH ATTACHMENTS", 852308005177, 20423,25.00,90,2.40
,DERLUBR2,"DERMALUXE/ADVANCE CLEANSING SYSTEM (2 SPEEDS/4 CLEANSING HEADS)
FACE & BODY BRUSH ATTACHMENTS", 852308005184, 20425,25.00,87,3.25
,DERLUBR3,"DERMALUXE/ADVANCE CLEANSING SYSTEM (2 SPEEDS/4 CLEANSING HEADS)
FACE & BODY BRUSH ATTACHMENTS", 852308005191, 20424,25.00,85,3.75
,ELIZEC1-Q,ELIZABETH ARDEN/GOOD MORNING EYE TREATMENT 0.33 OZ (10 ML), 085805428990, 4289-400,45.00,61,17.70
,EACERACASR5,"ELIZABETH ARDEN/ADVANCED CERAMIDE CAPSULES DAILY YOUTH RESTORING EYE SERUM .35OZ
60 CAPSULES", 085805559090, A0107303,83.00,66,28.30
,EACERASR1-Q,"ELIZABETH ARDEN/VITAMIN C CERAMIDE CAPSULES RADIANCE RENEWAL SERUM 0.47 OZ 
30 Pieces", 085805231941, A0119546,54.00,76,13.20
,EACERACASR1,"ELIZABETH ARDEN/CERAMIDE CAPSULES DAILY YOUTH RESTORING SERUM 1.41 OZ
90 CAPSULES", 085805197841, A0104589,120.00,59,49.00
,EACERACASR3,"ELIZABETH ARDEN/ ADVANCED CERAMIDE CAPSULES DAILY YOUTH RESTORING SERUM .95 OZ
60 CAPSULES- FOR FACE", 085805574598, 284424,95.00,69,29.80
,EACERACA11,"ELIZABETH ARDEN/RETINOL CERAMIDE CAPSULES LINE ERASING NIGHT SERUM 1.41 OZ
90 CAPSULES", 085805231101, A0119122,120.00,60,47.50
,EACERACLCR2,ELIZABETH ARDEN/CERAMIDE PURIFYING CREAM CLEANSER 4.2 OZ, 085805304508, CERN40117,32.00,56,13.95
,EACERATO1,ELIZABETH ARDEN/CERAMIDE PURIFYING TONER 6.7 OZ (200 ML), 085805304706, CERN30118,32.00,57,13.85
,EACERAEC2,ELIZABTEH ARDEN/CERAMIDE PREMIERE REGENERATION EYE CREAM 0.5 OZ (15 ML), 085805118891, CERN40085,84.00,69,26.05
,EACERAEC3,ELIZABETH ARDEN/ADVANCED CERAMIDE LIFT AND FIRM EYE CREAM 0.5 OZ (15 ML), 085805410995, 2246832000,72.00,65,25.55
,EAEIHOCR2B,ELIZABETH ARDEN/EIGHT HOUR CREAM SKIN PROTECTANT 1.0 OZ, 085805546649, A0100155,15.00,38,9.25
,EAEIHOMS1,ELIZABETH ARDEN/EIGHT HOUR CREAM MIRACLE HYDRATING MIST 3.4 OZ (100 ML), 085805545932, 6LAH1,27.00,60,10.75
,EAEIHOLB1,"ELIZABETH ARDEN/EIGHT HOUR CREAM  LIP PROTECTANT STICK SPF 15 .13 OZ (3.7 ML)
SPF 15", 085805425302, EIGN10091,29.00,72,8.25
