Product code,Description,Pack,Size,Measurement,Unit UPC,Category,[TI],[HI],Min Purchase Qty 1,Case Price 1,Unit Price 1,Min Purchase Qty 2,Case Price 2,Unit Price 2,Min Purchase Qty 3,Case Price 3,Unit Price 3,Min Purchase Qty 4,Case Price 4,Unit Price 4
16836,BADIA SHIPPER GRINDERS,120,2.25,oz,00033844030261,Pallet Mods & Shippers,3,7,0,$278.10,$2.32,,,,,,,,,
10458,BADIA SHIPPER KINGSFORD ,60,6,oz,00033844030339,Spices & Seasonings,8,3,0,$122.98,$2.05,,,,,,,,,
16250,BADIA SHIPPER STANDARD SIZE GARLIC & PEPPER,120,3,oz,00033844030353,Pallet Mods & Shippers,3,7,0,$147.08,$1.23,,,,,,,,,
16838,BADIA SHIPPER STANDARD SIZE HOLIDAY BAKING,120,1.25,oz,00033844009700,Pallet Mods & Shippers,3,7,0,$196.52,$1.64,,,,,,,,,
16839,BADIA SHIPPER STANDARD SIZE NUTMEG & SAGE GROUND,120,1.25,oz,0003384403031,Pallet Mods & Shippers,3,7,0,$196.52,$1.64,,,,,,,,,
16253,BADIA SHIPPER STANDARD SIZE ORGANIC SEASONINGS,120,1.75,oz,00033844030117,Pallet Mods & Shippers,3,7,0,$245.96,$2.05,,,,,,,,,
10464,BADIA SOUR ORANGE GALLON,4,128,oz,033844007393,Spices & Seasonings,12,4,0,$39.10,$9.77,,,,,,,,,
15896,BADIA SRIRACHA CHILI SAUCE,6,17,oz,033844003265,Condiments,37,4,0,$18.48,$3.08,5,$17.24,$2.87,,,,,,
10344,BADIA STANDARD SIZE ADOBO WITH PEPPER,12,3.75,oz,033844001315,Spices & Seasonings,40,13,0,$15.45,$1.29,,,,,,,,,
10346,BADIA STANDARD SIZE ADOBO WITHOUT PEPPER,12,3.75,oz,00033844001322,Spices & Seasonings,40,13,0,$15.45,$1.29,,,,,,,,,
10527,BADIA STANDARD SIZE ALLSPICE GROUND,8,2,oz,033844802196,Spices & Seasonings,60,13,0,$12.36,$1.55,,,,,,,,,
10528,BADIA STANDARD SIZE BASIL SWEET,8,0.75,oz,033844002152,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10529,BADIA STANDARD SIZE BAY LEAVES WHOLE,8,0.17,oz,033844002084,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10530,BADIA STANDARD SIZE CAJUN LOUISIANA,8,2.75,oz,033844006914,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10531,BADIA STANDARD SIZE CAYENNE PEPPER,8,1.75,oz,033844002244,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
16147,BADIA STANDARD SIZE CHILE & LIME,8,3,oz,033844001544,Spices & Seasonings,60,13,0,$14.75,$1.84,,,,,,,,,
10532,BADIA STANDARD SIZE CHILI CHIPOTLE GROUND SEASONING,8,2.5,oz,033844002664,Spices & Seasonings,60,13,0,$22.66,$2.83,,,,,,,,,
10533,BADIA STANDARD SIZE CHILI POWDER,8,2.5,oz,033844002015,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10534,BADIA STANDARD SIZE CHIVES,8,0.25,oz,033844006792,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10535,BADIA STANDARD SIZE CINNAMON GROUND,8,2,oz,00033844800158,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10536,BADIA STANDARD SIZE CINNAMON STICKS,8,1.25,oz,033844002060,Spices & Seasonings,40,13,0,$11.95,$1.49,,,,,,,,,
10537,BADIA STANDARD SIZE CINNAMON SUGAR,8,3.5,oz,033844002022,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10538,BADIA STANDARD SIZE COMPLETE SEASONING,8,3.5,oz,033844000080,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
16687,BADIA STANDARD SIZE CORIANDER GROUND,8,1.75,oz,00033844802035,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10539,BADIA STANDARD SIZE CUMIN,8,2,oz,033844000073,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10540,BADIA STANDARD SIZE CURRY POWDER,8,2,oz,033844002008,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10541,BADIA STANDARD SIZE DILL WEED,8,0.5,oz,033844006785,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10542,BADIA STANDARD SIZE EVERYTHING BAGEL,8,2.8,oz,033844012441,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10543,BADIA STANDARD SIZE FAJITA SEASONING,8,2.75,oz,033844006341,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10544,BADIA STANDARD SIZE GARLIC POWDER,8,3,oz,033844000059,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10545,BADIA STANDARD SIZE GARLIC SALT,8,4.5,oz,033844000042,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10546,BADIA STANDARD SIZE GREEN SUGAR,8,4,oz,033844002671,Spices & Seasonings,60,13,0,$20.19,$2.52,,,,,,,,,
10547,BADIA STANDARD SIZE GROUND BLACK PEPPER,8,2,oz,033844004484,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10548,BADIA STANDARD SIZE GROUND CLOVES,8,1.75,oz,033844002213,Spices & Seasonings,60,13,0,$14.42,$1.80,,,,,,,,,
10549,BADIA STANDARD SIZE GROUND GINGER,8,1.5,oz,033844002237,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10550,BADIA STANDARD SIZE GROUND SAGE,8,1.25,oz,033844806750,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10551,BADIA STANDARD SIZE GROUND WHITE PEPPER,8,2,oz,033844002169,Spices & Seasonings,60,13,0,$14.42,$1.80,,,,,,,,,
16148,BADIA STANDARD SIZE JALAPENO GROUND,8,2,oz,033844007522,Spices & Seasonings,60,13,0,$18.54,$2.32,,,,,,,,,
10552,BADIA STANDARD SIZE MEAT TENDERIZER,8,4.5,oz,033844006747,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10553,BADIA STANDARD SIZE MSG,8,2.75,oz,033844002305,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10554,BADIA STANDARD SIZE NONPAREILS,8,4,oz,033844002077,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10555,BADIA STANDARD SIZE NUTMEG,8,2,oz,033844802172,Spices & Seasonings,60,13,0,$18.87,$2.36,,,,,,,,,
10556,BADIA STANDARD SIZE ONION POWDER,8,2.75,oz,033844000066,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10557,BADIA STANDARD SIZE ONION SALT,8,4.5,oz,033844007300,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10558,BADIA STANDARD SIZE OREGANO WHOLE,8,0.5,oz,033844000097,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10560,BADIA STANDARD SIZE PAPRIKA,8,2,oz,033844000110,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
