VendorName,VCPN,VendorCode,PartNumber,ManufacturerPartNo,LongDescription,JobberPrice,Cost,UPSable,CoreCharge,CaseQty,IsNonReturnable,Prop65Toxicity,UPCCode,IsOversized,Weight,Height,Length,Width,AAIACode,IsHazmat,IsChemical,UPS_Ground_Assessorial,US_LTL,EastQty,MidwestQty,CaliforniaQty,SoutheastQty,PacificNWQty,TexasQty,GreatLakesQty,FloridaQty,TotalQty
303 PRODUCTS,T9310406,T93,10406,10406,OCTANE BOOST 16 OZ.,6.42,5.46,TRUE,0,1,TRUE,B,73905104067,FALSE,0.98,2.16,9.61,3.84,BLGJ,FALSE,TRUE,0,175,25,6,0,12,0,0,0,0,43
303 PRODUCTS,T9321214,T93,21214,21214,START YOUR ENGINE PDQ 2OZ,10.31,8.76,FALSE,0,1,TRUE,B,73905212144,FALSE,0.24,1.75,5.25,1.75,DFDW,TRUE,TRUE,0,175,0,8,2,0,16,5,0,0,31
303 PRODUCTS,T9322001,T93,22001,22001,FOGGING OIL 12 OZ,6.12,5.2,TRUE,0,1,TRUE,N,73905220019,FALSE,0.85,2.66,7.81,2.66,DFDW,FALSE,TRUE,0,175,50,23,0,3,0,0,50,0,126
303 PRODUCTS,T9322204,T93,22204,22204,FUEL STABILIZER 4OZ,4.63,3.94,TRUE,0,1,TRUE,B,73905222044,FALSE,0.29,1.81,7.75,5,DFDW,FALSE,TRUE,0,175,4,0,41,0,0,0,50,0,95
303 PRODUCTS,T9322205,T93,22205,22205,FUEL STABILIZER 4 OZ.,4.63,3.94,TRUE,0,1,TRUE,B,73905222051,FALSE,0.29,1.66,4.85,2.65,DFDW,FALSE,TRUE,0,175,38,0,0,5,0,0,0,0,43
303 PRODUCTS,T9322206,T93,22206,22206,FUEL STABILIZR BONUS 10OZ,7,5.95,TRUE,0,1,TRUE,B,73905222068,FALSE,0.62,1.57,9.13,3.03,DFDW,FALSE,TRUE,0,175,50,24,0,24,0,3,6,17,124
303 PRODUCTS,T9322207,T93,22207,22207,FUEL STABILIZER 16 OZ,9.4,7.99,TRUE,0,1,TRUE,B,73905222075,FALSE,0.96,1.8,9.23,4.5,DFDW,FALSE,TRUE,0,175,50,13,32,21,0,0,17,10,143
303 PRODUCTS,T9322214,T93,22214,22214,FUEL STABILIZER 32 OZ.,16.56,14.08,TRUE,0,1,TRUE,B,73905222143,FALSE,1.89,2.88,10.25,4.6,DFDW,FALSE,TRUE,0,175,50,12,0,0,0,0,23,0,85
303 PRODUCTS,T9322239,T93,22239,22239,MARINE STA-BIL  8OZ,9.52,8.09,TRUE,0,1,TRUE,B,73905222396,FALSE,0.54,1.65,7.36,3.78,DFDW,FALSE,TRUE,0,175,17,0,0,0,0,0,12,0,29
303 PRODUCTS,T9322240,T93,22240,22240,MARINE STA-BIL  32 OZ,26.19,22.26,TRUE,0,1,TRUE,B,73905222402,FALSE,1.93,2.88,10.25,4.6,DFDW,FALSE,TRUE,0,175,10,6,1,7,0,0,0,0,24
303 PRODUCTS,T9322241,T93,22241,22241,MARINE STA-BIL  10 OZ,9.52,8.09,TRUE,0,1,TRUE,B,73905222419,FALSE,0.64,1.57,9.13,3.03,DFDW,FALSE,TRUE,0,175,1,12,0,2,0,0,0,0,15
303 PRODUCTS,T9322250,T93,22250,22250,MARINE STA-BIL 128 OZ,91.46,77.74,TRUE,0,1,TRUE,B,73905222501,FALSE,7.5,4.58,10.06,6.95,DFDW,FALSE,TRUE,0,175,0,4,0,0,0,0,0,0,4
